feature,importance
PRE_MM_SYR,0.014577464046527626
SWC_PC_S02,0.014041613394403775
SWC_PC_S03,0.011406867931050814
SWC_PC_S12,0.01132552397481069
SWC_PC_SYR,0.011130603877186875
PRE_MM_S11,0.010999912712153566
SWC_PC_S04,0.010901829520903943
SWC_PC_S01,0.010509346714470695
P_MEAN,0.0105033257945058
HIRES_LENTIC_MEANSIZ,0.009648614130223075
PRE_MM_S04,0.009451502536376034
PRE_MM_S03,0.00887168567677427
LKV_MC_USU,0.008729172256739097
SWC_PC_S05,0.008643592010865815
HIRES_LENTIC_NUM,0.007686495120893624
LKA_PC_USE,0.007513381501888503
AET_MM_S05,0.00744240636043295
PRE_MM_S12,0.007359661824493089
AET_MM_S04,0.007278963383653598
PPD_PK_UAV,0.00725879269846483
FRESHW_WITHDRAWAL,0.0071639803754418585
CMI_IX_SYR,0.007075856195745061
REV_MC_USU,0.007025425455315244
RDD_MK_UAV,0.006816907242725288
DIS_M3_PYR,0.006770734109828576
AET_MM_S11,0.006693590417275321
RUN_MM_SYR,0.006605209973425334
CMI_IX_S02,0.006537194531191471
HIGH_PREC_DUR,0.0064895708859601
RIA_HA_USU,0.006442020334216559
LOW_PREC_DUR,0.0064259633267739
AET_MM_SYR,0.006354823425111914
POP_CT_USU,0.006347358835285854
RIV_TC_USU,0.006311544114958908
DIS_M3_PMN,0.006265566550525119
DIS_M3_PMX,0.0062316147148757306
GDP_UD_USU,0.006193124751296697
LOW_PREC_FREQ,0.006160803513304061
ASPECT_NORTHNESS,0.006142914323836845
SND_PC_UAV,0.006140198426381673
DRAIN_SQKM,0.006064353414026285
HGC,0.0060021739373147765
RAW_DIS_NEAREST_DAM,0.005989187168866762
AET_MM_S09,0.005977729385970231
RAW_AVG_DIS_ALLDAMS,0.005966324150669044
AWCAVE,0.005860313550813552
PRE_MM_S05,0.005859535165711134
SWC_PC_S10,0.00582255536563361
SNW_PC_S01,0.005680434056029624
KFACT_UP,0.005616305417148943
PRE_MM_S10,0.0055762259012098365
ASPECT_EASTNESS,0.005558240975940909
AET_MM_S03,0.00554733996554595
RRMEDIAN,0.0055471834924541545
NLI_IX_UAV,0.00545898469384357
RRMEAN,0.005442021503604173
HFT_IX_U09,0.005427973014409638
