year,state_name,ecoregion,commodity,acres_planted,acres_harvested,yield_per_acre,total_production,price_per_unit,total_value,production_unit
2000,Iowa,CntlPlains,CORN,1468362,1320353.709370262,164.12586342898595,175850204.0680037,5.237804200622273,921068937.5476738,BUSHELS
2000,Iowa,CntlPlains,SOYBEANS,1207237,1163722.1325759643,47.50243080643226,53858399.95010868,14.223708812913685,766066198.0197908,BUSHELS
2000,Iowa,CntlPlains,WHEAT,1432415,1218108.496926595,32.11052732843253,39757582.49356484,5.318548188222959,211452618.33927408,BUSHELS
2000,Kansas,CntlPlains,CORN,233079,212928.58415300914,185.83146953646235,44704594.179201715,4.578784910072223,204692721.23863134,BUSHELS
2000,Kansas,CntlPlains,SOYBEANS,121298,112707.26438128403,57.22543747069319,6844995.61156336,12.226474865037876,83690166.79607399,BUSHELS
2000,Kansas,CntlPlains,WHEAT,897264,861502.082720049,46.54651945223206,40569604.66749445,5.230043236818701,212180786.51163778,BUSHELS
2000,Nebraska,CntlPlains,CORN,272276,240440.70498970366,168.8502317921592,31889291.10385559,4.376868568674261,139575235.90976927,BUSHELS
2000,Nebraska,CntlPlains,SOYBEANS,898525,809728.0166574646,54.80769109321656,38246345.849773176,12.806443058517754,489799650.321497,BUSHELS
2000,Nebraska,CntlPlains,WHEAT,1301008,1199591.915462478,33.019463747520334,50262910.21895709,6.3242911418510905,317877277.861407,BUSHELS
2000,Illinois,CntlPlains,CORN,845374,746554.7255418415,162.43199069353452,84923761.71325025,4.026134840427955,341914515.8139184,BUSHELS
2000,Illinois,CntlPlains,SOYBEANS,794509,740289.1274641411,53.903570916232724,35081841.69609049,12.281286703723577,430850155.9643315,BUSHELS
2000,Illinois,CntlPlains,WHEAT,1899087,1682659.1147095445,37.04193759412436,54784262.25910439,6.321774001347174,346333724.83259135,BUSHELS
2000,Indiana,CntlPlains,CORN,690987,588306.0041721339,188.1044537715028,88302110.4280071,4.9381030951202005,436044924.8101876,BUSHELS
2000,Indiana,CntlPlains,SOYBEANS,539446,525178.5992946576,45.258427929783565,26451867.17951899,13.76353678156985,364071246.86651,BUSHELS
2000,Indiana,CntlPlains,WHEAT,728725,624129.2145299925,43.486572270463014,28165791.977104884,5.329916465368386,150121318.4189121,BUSHELS
2000,Missouri,CntlPlains,CORN,1667148,1614798.9697211578,193.53300741633157,369252980.32568836,4.536057017763643,1674952572.736479,BUSHELS
2000,Missouri,CntlPlains,SOYBEANS,270862,258720.1389485344,51.073138966786715,14179964.768698514,13.863195854194252,196579628.79404178,BUSHELS
2000,Missouri,CntlPlains,WHEAT,666458,629254.5347501322,43.629514339750166,28362869.191824224,5.688809910976787,161350971.36218783,BUSHELS
2000,Texas,SEPlains,CORN,906510,874659.0097480742,108.05842085065328,115826716.30888681,5.112995930125366,592221529.0871236,BUSHELS
2000,Texas,SEPlains,COTTON,603494,524028.91687822086,1013.3942069003402,639849975.1995531,0.546480164239883,349665319.53593683,POUNDS
2000,Texas,SEPlains,RICE,1403404,1284379.738555768,7392.372957675883,8041962178.673129,16.78411611083493,134977226965.79283,BUSHELS
2000,Oklahoma,SEPlains,CORN,96750,94077.60449546274,137.76528945257252,16825317.946030937,4.382185131806266,73731658.14100991,BUSHELS
2000,Oklahoma,SEPlains,COTTON,1614398,1409460.0647276891,1163.9704085823132,1622724863.5137773,0.7503278954251089,1217575731.6942897,POUNDS
2000,Oklahoma,SEPlains,RICE,331658,323497.773641849,7228.062208161909,2279179346.88562,13.26408002021527,30231217237.51284,BUSHELS
2000,Arkansas,SEPlains,CORN,70054,62055.47441996208,142.74454568728976,9624276.816426076,4.269503018596199,41090878.919536546,BUSHELS
2000,Arkansas,SEPlains,COTTON,1793736,1573853.9058034893,816.9023937731093,1290204267.9570022,0.6787640683141225,875744297.874739,POUNDS
2000,Arkansas,SEPlains,RICE,1970006,1706245.5439537112,6412.057192663436,12219973600.081518,11.36516925205075,138882068220.51837,BUSHELS
2000,Louisiana,SEPlains,CORN,461196,419729.8256448638,100.76656482496581,53748576.15396321,5.3166461529689055,285762160.63652474,BUSHELS
2000,Louisiana,SEPlains,COTTON,612648,596487.3790328883,863.0613783658328,456092128.52978843,0.7007740963225637,319617549.21029705,POUNDS
2000,Louisiana,SEPlains,RICE,1240101,1194025.3577607851,7507.397383159856,10336695733.783146,15.12148449601283,156306184278.4038,BUSHELS
2000,Mississippi,SEPlains,CORN,286285,274461.1527772925,131.12537782235253,40727256.043342985,4.339454148085775,176734060.17743614,BUSHELS
