feature,importance
PRE_MM_SYR,0.012474877930247341
PRE_MM_S11,0.011004320367075049
SWC_PC_S02,0.010230525961423294
P_MEAN,0.009827617008064409
HIRES_LENTIC_MEANSIZ,0.009273016451423715
SWC_PC_S01,0.008989605372488775
SWC_PC_S03,0.008854298757948336
SWC_PC_S04,0.008779683048590399
SWC_PC_S12,0.008460122007929801
PRE_MM_S04,0.008433781141574283
PRE_MM_S05,0.0080556857582409
PRE_MM_S12,0.007807138053797189
LKA_PC_USE,0.007802386840660344
PPD_PK_UAV,0.007765041237711007
PRE_MM_S03,0.007693175637194346
SWC_PC_SYR,0.007596983675217027
RDD_MK_UAV,0.00755778589631095
LKV_MC_USU,0.007283669384848594
ASPECT_EASTNESS,0.0071010809243249986
AET_MM_S05,0.007034378374965217
FRESHW_WITHDRAWAL,0.006950844983186179
LOW_PREC_DUR,0.006621086796220092
SWC_PC_S05,0.006557671333643645
GDP_UD_USU,0.006435921942283238
KFACT_UP,0.006427004266235974
DIS_M3_PYR,0.006426056188504364
DIS_M3_PMN,0.006384464976498531
HFT_IX_U93,0.006360281054449388
DRAIN_SQKM,0.006336620995747926
FRAGUN_BASIN,0.006335748306729492
POP_CT_USU,0.006318545774543239
AET_MM_S06,0.006304925399741441
AET_MM_S04,0.006241076467962325
AET_MM_SYR,0.0061731002141063186
HFT_IX_U09,0.006145019742405737
AET_MM_S11,0.006144208196317007
CMI_IX_SYR,0.006128016324157129
HIRES_LENTIC_NUM,0.006029475731025025
ASPECT_NORTHNESS,0.006011791169696274
RUN_MM_SYR,0.006009858296804929
RRMEDIAN,0.005937983469947511
RRMEAN,0.005900600037436855
NLI_IX_UAV,0.0058418864455806775
RAW_DIS_NEAREST_DAM,0.005835422176100521
NO200AVE,0.005827896142003022
HIGH_PREC_DUR,0.005768085040681093
SILTAVE,0.005741647330415058
ASPECT_DEGREES,0.005734796373620692
RIV_TC_USU,0.005713870957851348
LOW_PREC_FREQ,0.005700222202197565
SNW_PC_S01,0.005694217086651379
OMAVE,0.005655613958023807
PERMAVE,0.0056497983673762416
SND_PC_UAV,0.0056421182144978385
SANDAVE,0.00563288440963945
HGB,0.005617036663230812
RIA_HA_USU,0.005567934633251772
