year,state_name,policies_earning_premium,total_premium,producer_paid_premium,total_liability,indemnities,loss_ratio,subsidy_amount,subsidy_rate
2000,Alabama,23293,313795534.4052639,194553231.33126363,3471574543.386605,987553876.8438238,3.1471253366161913,119242303.07400027,0.37999999999999995
2000,Alaska,33664,264541093.86901784,164015478.19879106,2971050758.136742,680264007.5845335,2.5714870897198012,100525615.67022678,0.38
2000,Arizona,23278,287715025.05727726,178383315.5355119,3429388890.76383,825255443.3558042,2.8683084701312187,109331709.52176535,0.37999999999999995
2000,Arkansas,26939,373903067.7500617,231819902.00503826,4352290733.918554,993443134.9315758,2.656953688317022,142083165.74502343,0.37999999999999995
2000,California,31670,360055576.79544497,223234457.61317587,4488428657.62147,1046777762.6431265,2.907267183471019,136821119.1822691,0.38
2000,Colorado,30849,295760309.08598524,183371391.63331085,3509659887.4611893,875601448.6496215,2.9605103245786144,112388917.45267439,0.38
2000,Connecticut,29654,241450288.69128072,149699178.98859406,3087926415.995056,471859988.8534527,1.9542738648648903,91751109.70268667,0.37999999999999995
2000,Delaware,46453,214869535.87932885,133219112.24518387,2760110561.222001,631924232.3491328,2.940967083877459,81650423.63414498,0.38000000000000006
2000,District of Columbia,43265,231574544.54500255,143576217.61790156,2936212323.6091843,520492263.4761697,2.2476229608864498,87998326.92710099,0.38000000000000006
2000,Florida,26073,289242083.34113616,179330091.6715044,2669542667.8435526,547031360.1512467,1.8912578482090043,109911991.66963175,0.38000000000000006
2000,Georgia,13305,333477382.3957745,206755977.08538017,3704788867.108403,970650918.6731155,2.910694907401956,126721405.31039432,0.38000000000000006
2000,Hawaii,30206,256995897.46590978,159337456.42886406,2936862644.5993533,525106599.2109473,2.043248956067877,97658441.03704572,0.38
2000,Idaho,24986,291565208.8469993,180770429.48513955,3384053210.96193,677333169.1219784,2.323093251765211,110794779.36185974,0.38000000000000006
2000,Illinois,37342,257761657.13917044,159812227.42628565,3246151262.3243027,836113413.3773272,3.243746267994753,97949429.71288478,0.38000000000000006
2000,Indiana,29647,396911721.1996051,246085267.14375517,5150404622.509821,656899593.5754589,1.6550269455134259,150826454.05584994,0.38
2000,Iowa,31376,381732350.0485521,236674057.0301023,4340771831.8848715,802177541.6178758,2.1014135729283825,145058293.01844978,0.37999999999999995
2000,Kansas,33367,237408190.96333516,147193078.3972678,2521703836.91763,403986042.0717998,1.7016516592478925,90215112.56606737,0.38000000000000006
2000,Kentucky,32393,343737454.7605464,213117221.95153874,4042756615.161848,648296591.2933376,1.8860225509755766,130620232.80900764,0.38000000000000006
2000,Louisiana,39418,352108005.511457,218306963.41710335,4705881892.596685,583229041.9284497,1.6563924500417881,133801042.09435368,0.38
2000,Maine,43198,291164431.68473315,180521947.64453456,3538070945.804657,529361098.6755443,1.8180829835998842,110642484.0401986,0.38
2000,Maryland,22026,187110738.43471804,116008657.8295252,2050406337.9358418,571386557.7631551,3.0537347163669546,71102080.60519284,0.3799999999999999
2000,Massachusetts,41957,201733198.48862237,125074583.06294587,1946769888.4350832,443542915.6632874,2.198660998716594,76658615.4256765,0.37999999999999995
2000,Michigan,35066,374171556.0240871,231986364.734934,4290373775.179706,1374433613.2409372,3.673271233777211,142185191.28915307,0.37999999999999995
2000,Minnesota,20902,364062745.56643367,225718902.25118887,3826254820.34861,1004373207.7072918,2.7587914993736025,138343843.3152448,0.38
2000,Mississippi,12990,281019134.5857834,174231863.44318572,3266614243.5853114,552121761.1314253,1.964712338699789,106787271.1425977,0.38
