,,Mean_SFD_Flow_Percentile,Mean_SFD_Flow_Percentile,Mean_SFD_Flow_Percentile,Duration_Days,Duration_Days,RAW_DIS_NEAREST_DAM,RAW_DIS_NEAREST_DAM
,,mean,std,count,mean,std,mean,median
RAW_DIS_NEAREST_DAM_Binary,AGGECOREGION,,,,,,,
Dam_Absent,CntlPlains,15.45,5.01,5324,53.78,77.44,14.3,10.72
Dam_Absent,EastHghlnds,14.42,4.86,9560,34.67,29.05,16.43,13.67
Dam_Absent,MxWdShld,16.14,4.82,400,66.61,73.31,16.53,13.1
Dam_Absent,NorthEast,14.45,4.75,2640,31.09,24.26,12.33,9.47
Dam_Absent,SECstPlain,15.57,5.01,863,50.39,117.27,18.78,13.72
Dam_Absent,SEPlains,14.82,5.06,6206,37.45,33.71,13.5,11.53
Dam_Absent,WestMnts,16.35,4.82,5140,60.06,66.67,18.13,14.07
Dam_Absent,WestPlains,15.98,5.11,5715,57.77,75.65,14.02,11.55
Dam_Absent,WestXeric,16.06,5.1,1781,60.69,96.0,27.35,18.14
Dam_Present,CntlPlains,15.37,5.02,6336,47.59,48.08,2.62,2.76
Dam_Present,EastHghlnds,14.62,4.97,6902,34.82,103.77,3.06,3.07
Dam_Present,MxWdShld,17.3,4.33,147,70.8,72.28,0.56,0.13
Dam_Present,NorthEast,14.95,4.78,7160,33.79,26.15,2.27,1.72
Dam_Present,SECstPlain,15.32,5.17,789,45.35,137.7,1.88,1.75
Dam_Present,SEPlains,14.33,5.16,7250,33.29,31.62,3.12,3.12
Dam_Present,WestMnts,16.26,5.01,2989,61.91,86.3,2.45,2.22
Dam_Present,WestPlains,15.71,5.16,5389,56.42,73.39,3.08,2.96
Dam_Present,WestXeric,16.34,5.07,692,65.17,71.75,2.61,2.97
