,,Mean_SFD_Flow_Percentile,Mean_SFD_Flow_Percentile,Mean_SFD_Flow_Percentile,Duration_Days,Duration_Days,RAW_DIS_NEAREST_MAJ_DAM,RAW_DIS_NEAREST_MAJ_DAM
,,mean,std,count,mean,std,mean,median
RAW_DIS_NEAREST_MAJ_DAM_Binary,AGGECOREGION,,,,,,,
Dam_Absent,CntlPlains,15.47,4.97,3539,54.29,59.5,36.54,31.51
Dam_Absent,EastHghlnds,14.63,4.86,5132,34.35,26.44,29.73,25.51
Dam_Absent,MxWdShld,17.06,4.61,210,81.38,86.43,27.67,24.49
Dam_Absent,NorthEast,15.08,4.87,1458,34.04,28.76,24.5,21.52
Dam_Absent,SECstPlain,17.59,4.57,191,73.36,226.22,34.74,37.37
Dam_Absent,SEPlains,15.23,5.01,3947,38.9,36.12,37.61,30.79
Dam_Absent,WestMnts,16.39,4.76,2751,59.98,80.65,33.55,29.09
Dam_Absent,WestPlains,15.86,5.08,4975,57.49,76.49,48.45,36.9
Dam_Absent,WestXeric,16.05,5.15,1472,61.47,99.09,41.55,36.24
Dam_Present,CntlPlains,15.41,5.02,3691,46.85,49.03,6.13,6.03
Dam_Present,EastHghlnds,14.63,4.94,5824,34.49,113.15,6.57,6.33
Dam_Present,MxWdShld,17.53,4.15,106,77.17,71.17,4.65,4.83
Dam_Present,NorthEast,15.1,4.81,4357,33.69,25.92,5.83,5.71
Dam_Present,SECstPlain,16.24,4.98,204,71.63,265.28,4.56,4.12
Dam_Present,SEPlains,14.38,5.24,3132,33.43,26.29,6.75,6.25
Dam_Present,WestMnts,16.27,5.06,2790,59.68,69.82,5.71,4.45
Dam_Present,WestPlains,15.75,5.25,2897,53.82,69.75,5.89,4.39
Dam_Present,WestXeric,15.95,5.1,709,63.42,69.05,5.62,3.31
