AGGECOREGION,ENSO_Phase,RAW_DIS_NEAREST_DAM_Binary,Num_Catchments,Mean_Duration,Mean_Flow_Percentile
CntlPlains,El_Nino,Dam_Absent,184,51.86,15.44
CntlPlains,El_Nino,Dam_Present,187,44.47,15.34
CntlPlains,La_Nina,Dam_Absent,177,51.44,15.7
CntlPlains,La_Nina,Dam_Present,184,46.79,15.67
CntlPlains,Neutral,Dam_Absent,159,69.7,14.86
CntlPlains,Neutral,Dam_Present,170,64.56,14.76
EastHghlnds,El_Nino,Dam_Absent,219,33.69,14.81
EastHghlnds,El_Nino,Dam_Present,164,35.13,14.93
EastHghlnds,La_Nina,Dam_Absent,218,35.51,13.79
EastHghlnds,La_Nina,Dam_Present,160,33.89,14.1
EastHghlnds,Neutral,Dam_Absent,197,38.05,14.78
EastHghlnds,Neutral,Dam_Present,141,37.54,14.92
MxWdShld,El_Nino,Dam_Absent,16,62.16,16.04
MxWdShld,El_Nino,Dam_Present,8,68.03,17.04
MxWdShld,La_Nina,Dam_Absent,17,69.08,16.64
MxWdShld,La_Nina,Dam_Present,10,77.83,17.7
MxWdShld,Neutral,Dam_Absent,12,92.15,14.27
MxWdShld,Neutral,Dam_Present,4,54.0,17.48
NorthEast,El_Nino,Dam_Absent,60,29.97,14.84
NorthEast,El_Nino,Dam_Present,159,32.42,15.18
NorthEast,La_Nina,Dam_Absent,59,33.47,13.94
NorthEast,La_Nina,Dam_Present,156,36.91,14.58
NorthEast,Neutral,Dam_Absent,58,28.39,14.28
NorthEast,Neutral,Dam_Present,151,30.5,15.02
SECstPlain,El_Nino,Dam_Absent,29,42.28,16.29
SECstPlain,El_Nino,Dam_Present,26,38.38,15.72
SECstPlain,La_Nina,Dam_Absent,28,53.15,14.7
SECstPlain,La_Nina,Dam_Present,24,57.88,14.93
SECstPlain,Neutral,Dam_Absent,24,80.13,15.54
SECstPlain,Neutral,Dam_Present,20,36.41,14.66
SEPlains,El_Nino,Dam_Absent,159,36.85,15.0
SEPlains,El_Nino,Dam_Present,186,32.45,14.36
SEPlains,La_Nina,Dam_Absent,155,38.37,14.66
SEPlains,La_Nina,Dam_Present,184,34.68,14.3
SEPlains,Neutral,Dam_Absent,139,37.22,14.53
SEPlains,Neutral,Dam_Present,163,32.43,14.31
WestMnts,El_Nino,Dam_Absent,185,58.32,16.36
WestMnts,El_Nino,Dam_Present,106,61.59,16.26
WestMnts,La_Nina,Dam_Absent,169,60.76,16.37
WestMnts,La_Nina,Dam_Present,102,61.64,16.38
WestMnts,Neutral,Dam_Absent,152,68.55,16.24
WestMnts,Neutral,Dam_Present,89,64.66,15.81
WestPlains,El_Nino,Dam_Absent,230,55.63,15.91
WestPlains,El_Nino,Dam_Present,200,54.12,15.83
WestPlains,La_Nina,Dam_Absent,212,56.93,16.47
WestPlains,La_Nina,Dam_Present,189,55.65,15.96
WestPlains,Neutral,Dam_Absent,184,68.79,15.1
WestPlains,Neutral,Dam_Present,167,66.34,14.74
WestXeric,El_Nino,Dam_Absent,64,56.71,15.92
WestXeric,El_Nino,Dam_Present,35,61.68,16.34
WestXeric,La_Nina,Dam_Absent,62,59.92,16.53
WestXeric,La_Nina,Dam_Present,32,71.01,16.23
WestXeric,Neutral,Dam_Absent,51,82.14,15.25
WestXeric,Neutral,Dam_Present,26,64.89,16.79
