AGGECOREGION,ENSO_Phase,RAW_DIS_NEAREST_MAJ_DAM_Binary,Num_Catchments,Mean_Duration,Mean_Flow_Percentile
CntlPlains,El_Nino,Dam_Absent,117,51.39,15.36
CntlPlains,El_Nino,Dam_Present,106,43.74,15.44
CntlPlains,La_Nina,Dam_Absent,114,52.46,15.96
CntlPlains,La_Nina,Dam_Present,105,46.34,15.48
CntlPlains,Neutral,Dam_Absent,103,74.89,14.62
CntlPlains,Neutral,Dam_Present,94,63.32,15.07
EastHghlnds,El_Nino,Dam_Absent,110,33.0,15.08
EastHghlnds,El_Nino,Dam_Present,139,35.11,14.95
EastHghlnds,La_Nina,Dam_Absent,110,35.71,13.92
EastHghlnds,La_Nina,Dam_Present,136,33.54,14.08
EastHghlnds,Neutral,Dam_Absent,100,37.96,15.04
EastHghlnds,Neutral,Dam_Present,115,34.98,15.23
MxWdShld,El_Nino,Dam_Absent,10,72.55,17.11
MxWdShld,El_Nino,Dam_Present,7,70.02,17.04
MxWdShld,La_Nina,Dam_Absent,10,88.08,17.35
MxWdShld,La_Nina,Dam_Present,9,90.8,18.32
MxWdShld,Neutral,Dam_Absent,7,125.07,15.16
MxWdShld,Neutral,Dam_Present,3,59.57,17.18
NorthEast,El_Nino,Dam_Absent,29,32.6,15.43
NorthEast,El_Nino,Dam_Present,95,32.65,15.34
NorthEast,La_Nina,Dam_Absent,29,37.62,14.35
NorthEast,La_Nina,Dam_Present,93,36.22,14.76
NorthEast,Neutral,Dam_Absent,28,29.23,15.79
NorthEast,Neutral,Dam_Present,89,30.79,15.0
SECstPlain,El_Nino,Dam_Absent,11,52.31,17.9
SECstPlain,El_Nino,Dam_Present,10,47.03,17.2
SECstPlain,La_Nina,Dam_Absent,10,64.18,16.92
SECstPlain,La_Nina,Dam_Present,8,108.48,14.95
SECstPlain,Neutral,Dam_Absent,8,264.13,18.65
SECstPlain,Neutral,Dam_Present,5,53.5,16.25
SEPlains,El_Nino,Dam_Absent,99,38.4,15.44
SEPlains,El_Nino,Dam_Present,81,32.87,14.2
SEPlains,La_Nina,Dam_Absent,98,39.66,14.99
SEPlains,La_Nina,Dam_Present,79,34.58,14.46
SEPlains,Neutral,Dam_Absent,89,38.45,15.14
SEPlains,Neutral,Dam_Present,68,32.36,15.18
WestMnts,El_Nino,Dam_Absent,97,56.95,16.54
WestMnts,El_Nino,Dam_Present,97,59.45,16.28
WestMnts,La_Nina,Dam_Absent,92,63.22,16.26
WestMnts,La_Nina,Dam_Present,92,57.54,16.5
WestMnts,Neutral,Dam_Absent,76,66.76,15.94
WestMnts,Neutral,Dam_Present,82,68.12,15.5
WestPlains,El_Nino,Dam_Absent,184,54.59,15.94
WestPlains,El_Nino,Dam_Present,103,51.87,15.78
WestPlains,La_Nina,Dam_Absent,178,57.28,16.28
WestPlains,La_Nina,Dam_Present,101,52.61,15.93
WestPlains,Neutral,Dam_Absent,163,68.99,14.63
WestPlains,Neutral,Dam_Present,84,63.86,15.16
WestXeric,El_Nino,Dam_Absent,52,57.15,16.05
WestXeric,El_Nino,Dam_Present,31,59.87,15.66
WestXeric,La_Nina,Dam_Absent,49,59.86,16.38
WestXeric,La_Nina,Dam_Present,28,70.42,16.2
WestXeric,Neutral,Dam_Absent,42,87.2,15.05
WestXeric,Neutral,Dam_Present,27,59.08,16.72
