Station_ID,AGGECOREGION,ENSO_Phase,Season,RAW_DIS_NEAREST_MAJ_DAM_Binary,SFD_Count,Years_in_Phase,SFD_Frequency
10026500,WestXeric,El_Nino,Summer,Dam_Absent,1,24,0.041666666666666664
10026500,WestXeric,La_Nina,Summer,Dam_Absent,1,15,0.06666666666666667
10028500,WestXeric,El_Nino,Spring,Dam_Absent,3,24,0.125
10028500,WestXeric,El_Nino,Summer,Dam_Absent,1,24,0.041666666666666664
10028500,WestXeric,La_Nina,Summer,Dam_Absent,2,15,0.13333333333333333
10028500,WestXeric,Neutral,Spring,Dam_Absent,1,5,0.2
10028500,WestXeric,Neutral,Summer,Dam_Absent,1,5,0.2
10105900,WestMnts,El_Nino,Fall,Dam_Present,7,24,0.2916666666666667
10105900,WestMnts,El_Nino,Spring,Dam_Present,6,24,0.25
10105900,WestMnts,El_Nino,Summer,Dam_Present,3,24,0.125
10105900,WestMnts,El_Nino,Winter,Dam_Present,7,24,0.2916666666666667
10105900,WestMnts,La_Nina,Fall,Dam_Present,4,15,0.26666666666666666
10105900,WestMnts,La_Nina,Spring,Dam_Present,4,15,0.26666666666666666
10105900,WestMnts,La_Nina,Summer,Dam_Present,6,15,0.4
10105900,WestMnts,La_Nina,Winter,Dam_Present,1,15,0.06666666666666667
10105900,WestMnts,Neutral,Fall,Dam_Present,3,5,0.6
10105900,WestMnts,Neutral,Spring,Dam_Present,2,5,0.4
10105900,WestMnts,Neutral,Summer,Dam_Present,1,5,0.2
1011000,NorthEast,El_Nino,Fall,Dam_Absent,5,24,0.20833333333333334
1011000,NorthEast,El_Nino,Spring,Dam_Absent,8,24,0.3333333333333333
1011000,NorthEast,El_Nino,Summer,Dam_Absent,8,24,0.3333333333333333
1011000,NorthEast,La_Nina,Fall,Dam_Absent,6,15,0.4
1011000,NorthEast,La_Nina,Spring,Dam_Absent,4,15,0.26666666666666666
1011000,NorthEast,La_Nina,Summer,Dam_Absent,6,15,0.4
1011000,NorthEast,La_Nina,Winter,Dam_Absent,3,15,0.2
1011000,NorthEast,Neutral,Fall,Dam_Absent,2,5,0.4
1011000,NorthEast,Neutral,Spring,Dam_Absent,2,5,0.4
1011000,NorthEast,Neutral,Summer,Dam_Absent,1,5,0.2
10126000,WestXeric,El_Nino,Fall,Dam_Absent,9,24,0.375
10126000,WestXeric,El_Nino,Spring,Dam_Absent,7,24,0.2916666666666667
10126000,WestXeric,El_Nino,Summer,Dam_Absent,1,24,0.041666666666666664
10126000,WestXeric,El_Nino,Winter,Dam_Absent,7,24,0.2916666666666667
10126000,WestXeric,La_Nina,Fall,Dam_Absent,6,15,0.4
10126000,WestXeric,La_Nina,Spring,Dam_Absent,5,15,0.3333333333333333
10126000,WestXeric,La_Nina,Summer,Dam_Absent,3,15,0.2
10126000,WestXeric,La_Nina,Winter,Dam_Absent,3,15,0.2
10126000,WestXeric,Neutral,Fall,Dam_Absent,3,5,0.6
10126000,WestXeric,Neutral,Spring,Dam_Absent,1,5,0.2
10126000,WestXeric,Neutral,Winter,Dam_Absent,1,5,0.2
10155500,WestMnts,El_Nino,Fall,Dam_Present,3,24,0.125
10155500,WestMnts,El_Nino,Spring,Dam_Present,11,24,0.4583333333333333
10155500,WestMnts,El_Nino,Summer,Dam_Present,5,24,0.20833333333333334
10155500,WestMnts,El_Nino,Winter,Dam_Present,3,24,0.125
10155500,WestMnts,La_Nina,Spring,Dam_Present,5,15,0.3333333333333333
10155500,WestMnts,La_Nina,Summer,Dam_Present,2,15,0.13333333333333333
10155500,WestMnts,Neutral,Spring,Dam_Present,2,5,0.4
10155500,WestMnts,Neutral,Summer,Dam_Present,1,5,0.2
10155500,WestMnts,Neutral,Winter,Dam_Present,1,5,0.2
1017000,NorthEast,El_Nino,Fall,Dam_Absent,10,24,0.4166666666666667
1017000,NorthEast,El_Nino,Spring,Dam_Absent,9,24,0.375
1017000,NorthEast,El_Nino,Summer,Dam_Absent,5,24,0.20833333333333334
1017000,NorthEast,La_Nina,Fall,Dam_Absent,4,15,0.26666666666666666
1017000,NorthEast,La_Nina,Spring,Dam_Absent,4,15,0.26666666666666666
1017000,NorthEast,La_Nina,Summer,Dam_Absent,7,15,0.4666666666666667
1017000,NorthEast,La_Nina,Winter,Dam_Absent,3,15,0.2
1017000,NorthEast,Neutral,Spring,Dam_Absent,2,5,0.4
1017000,NorthEast,Neutral,Summer,Dam_Absent,1,5,0.2
10171000,WestMnts,El_Nino,Fall,Dam_Absent,8,24,0.3333333333333333
10171000,WestMnts,El_Nino,Spring,Dam_Absent,8,24,0.3333333333333333
10171000,WestMnts,El_Nino,Summer,Dam_Absent,10,24,0.4166666666666667
10171000,WestMnts,El_Nino,Winter,Dam_Absent,7,24,0.2916666666666667
10171000,WestMnts,La_Nina,Fall,Dam_Absent,4,15,0.26666666666666666
10171000,WestMnts,La_Nina,Spring,Dam_Absent,5,15,0.3333333333333333
10171000,WestMnts,La_Nina,Summer,Dam_Absent,4,15,0.26666666666666666
10171000,WestMnts,La_Nina,Winter,Dam_Absent,3,15,0.2
10171000,WestMnts,Neutral,Spring,Dam_Absent,2,5,0.4
10171000,WestMnts,Neutral,Winter,Dam_Absent,1,5,0.2
10180000,WestMnts,El_Nino,Fall,Dam_Absent,2,24,0.08333333333333333
10180000,WestMnts,El_Nino,Summer,Dam_Absent,3,24,0.125
10180000,WestMnts,La_Nina,Fall,Dam_Absent,1,15,0.06666666666666667
10180000,WestMnts,La_Nina,Spring,Dam_Absent,1,15,0.06666666666666667
10180000,WestMnts,Neutral,Winter,Dam_Absent,1,5,0.2
10183500,WestMnts,El_Nino,Fall,Dam_Absent,5,24,0.20833333333333334
10183500,WestMnts,El_Nino,Spring,Dam_Absent,5,24,0.20833333333333334
