ENSO_Phase,Season,RAW_DIS_NEAREST_DAM_Binary,mean,std,count,median
El_Nino,Fall,Dam_Absent,0.205,0.12,1009,0.208
El_Nino,Fall,Dam_Present,0.212,0.122,979,0.208
El_Nino,Spring,Dam_Absent,0.247,0.133,1096,0.25
El_Nino,Spring,Dam_Present,0.248,0.133,1020,0.25
El_Nino,Summer,Dam_Absent,0.214,0.119,1057,0.208
El_Nino,Summer,Dam_Present,0.227,0.127,991,0.208
El_Nino,Winter,Dam_Absent,0.175,0.107,906,0.167
El_Nino,Winter,Dam_Present,0.182,0.113,915,0.167
La_Nina,Fall,Dam_Absent,0.246,0.136,959,0.2
La_Nina,Fall,Dam_Present,0.253,0.136,930,0.267
La_Nina,Spring,Dam_Absent,0.219,0.128,972,0.2
La_Nina,Spring,Dam_Present,0.22,0.128,936,0.2
La_Nina,Summer,Dam_Absent,0.229,0.132,983,0.2
La_Nina,Summer,Dam_Present,0.247,0.136,923,0.267
La_Nina,Winter,Dam_Absent,0.237,0.158,890,0.2
La_Nina,Winter,Dam_Present,0.24,0.141,885,0.2
Neutral,Fall,Dam_Absent,0.306,0.165,548,0.2
Neutral,Fall,Dam_Present,0.321,0.169,599,0.2
Neutral,Spring,Dam_Absent,0.322,0.155,764,0.2
Neutral,Spring,Dam_Present,0.34,0.166,768,0.2
Neutral,Summer,Dam_Absent,0.328,0.165,649,0.2
Neutral,Summer,Dam_Present,0.334,0.165,658,0.2
Neutral,Winter,Dam_Absent,0.281,0.139,383,0.2
Neutral,Winter,Dam_Present,0.304,0.156,418,0.2
