ENSO_Phase,Season,RAW_DIS_NEAREST_MAJ_DAM_Binary,mean,std,count,median
El_Nino,Fall,Dam_Absent,0.209,0.122,619,0.208
El_Nino,Fall,Dam_Present,0.213,0.125,619,0.208
El_Nino,Spring,Dam_Absent,0.246,0.129,678,0.25
El_Nino,Spring,Dam_Present,0.255,0.144,635,0.25
El_Nino,Summer,Dam_Absent,0.219,0.118,655,0.208
El_Nino,Summer,Dam_Present,0.224,0.129,616,0.208
El_Nino,Winter,Dam_Absent,0.174,0.111,563,0.167
El_Nino,Winter,Dam_Present,0.195,0.117,568,0.167
La_Nina,Fall,Dam_Absent,0.248,0.136,594,0.267
La_Nina,Fall,Dam_Present,0.258,0.14,593,0.267
La_Nina,Spring,Dam_Absent,0.219,0.13,620,0.2
La_Nina,Spring,Dam_Present,0.219,0.127,575,0.2
La_Nina,Summer,Dam_Absent,0.233,0.132,617,0.2
La_Nina,Summer,Dam_Present,0.242,0.14,586,0.2
La_Nina,Winter,Dam_Absent,0.232,0.158,554,0.2
La_Nina,Winter,Dam_Present,0.245,0.15,550,0.2
Neutral,Fall,Dam_Absent,0.305,0.157,359,0.2
Neutral,Fall,Dam_Present,0.309,0.158,355,0.2
Neutral,Spring,Dam_Absent,0.331,0.159,500,0.2
Neutral,Spring,Dam_Present,0.34,0.166,454,0.2
Neutral,Summer,Dam_Absent,0.336,0.164,422,0.2
Neutral,Summer,Dam_Present,0.335,0.167,387,0.2
Neutral,Winter,Dam_Absent,0.289,0.14,239,0.2
Neutral,Winter,Dam_Present,0.312,0.167,251,0.2
