feature,importance
PRE_MM_S11,0.013616049394515968
SWC_PC_S04,0.012836301571715636
SWC_PC_S02_SQUARED,0.012203894054419682
PRE_MM_SYR,0.01000158612649735
SWC_PC_S03,0.009854744756424666
SWC_PC_S05,0.008843466139103452
WATERBODY_SIZE_DENS,0.008482108159000851
ARIDITY_RATIO,0.008336136403856555
HIRES_LENTIC_MEANSIZ,0.0081018252113875
PRE_MM_S04,0.007995307935948322
P_MEAN,0.007719288389270464
P_MEAN_SQUARED,0.007703611152368912
RDD_MK_UAV,0.007386468886255283
HIRES_LENTIC_NUM,0.007073465845610621
PPD_PK_UAV,0.007015556544221531
