year,state_name,ecoregion,acres_planted,acres_harvested,total_production,total_value,avg_yield,value_per_acre
2000,Alabama,SEPlains,3482287,3268977.2738123825,10093549213.504951,130549718243.01198,3087.678000812022,39935.95161668434
2000,Arizona,WestXeric,3127477,2801097.918553654,8043684101.312306,111472903324.86954,2871.6183208138827,39796.146570423545
2000,Arkansas,SEPlains,3833796,3342154.9241771623,13519802144.854946,139798903397.31265,4045.2350209897936,41828.97159733884
2000,California,WestXeric,3409030,2964344.4860422798,11706677603.5615,172449598909.91608,3949.1623388181783,58174.614901169916
2000,Colorado,WestMnts,3502142,3104571.900981717,588045505.0782095,3875431374.737423,189.4127512048472,1248.2981545738876
2000,Connecticut,NorthEast,3198777,2840198.1298346254,740782411.981394,6119356210.948485,260.8206815573557,2154.552580916175
2000,Delaware,SECstPlain,4391660,4130462.471848715,7356944584.215687,2703145484.677231,1781.1430643316946,654.4413617362695
2000,Florida,SECstPlain,2795982,2452549.152645622,2198534222.607911,1675402246.695242,896.4282001183548,683.1268783697756
2000,Georgia,SECstPlain,2117878,1846604.215529777,2343810637.6105814,1128648876.6531272,1269.2544606469228,611.2023719870726
2000,Idaho,WestMnts,1665488,1575357.5030646394,84936603.33937252,694342866.233344,53.91576399270651,440.75256878682853
2000,Illinois,CntlPlains,3538970,3169502.967715527,174789865.66844514,1119098396.6108413,55.1474055865699,353.0832461776966
2000,Indiana,CntlPlains,1959158,1737613.817996784,142919769.58463097,950237490.0956097,82.25059452473546,546.8634516218887
2000,Iowa,CntlPlains,4108014,3702184.338872821,269466186.5116772,1898587753.9067388,72.7857291389547,512.8290706574564
2000,Kansas,CntlPlains,1251641,1187137.9312543422,92119194.45825952,500563674.5463431,77.59771803511107,421.6558677536673
2000,Kentucky,EastHghlnds,4698357,4575529.73818803,326850246.2364516,2326993419.1362553,71.43440539977533,508.57355372752426
2000,Louisiana,SEPlains,2313945,2210242.5624385374,10846536438.466898,156911563988.25064,4907.396420101524,70992.9157346114
2000,Maine,NorthEast,2056113,1909417.665080763,301883690.70773035,1798537815.7047358,158.1024917850865,941.9300180344056
2000,Maryland,SECstPlain,3901681,3465765.87367485,8548201012.12245,2400472466.465223,2466.468112301697,692.623954981683
2000,Massachusetts,NorthEast,3959818,3712994.0643040645,673407124.4532186,5067061426.350474,181.36498814453046,1364.6834168317491
2000,Michigan,EastHghlnds,4547329,4295156.381353119,468373770.8379848,2691408451.439435,109.04696575690947,626.6147754535425
2000,Minnesota,EastHghlnds,3847764,3532647.790269598,352999638.3131275,1926085425.4411535,99.92494561315662,545.2243019376019
2000,Mississippi,SEPlains,3319938,3149339.2116947304,8547709665.141271,99063682760.88812,2714.1279775135927,31455.386702399617
2000,Missouri,CntlPlains,2604468,2502773.6434198245,411795814.2862111,2032883172.8927088,164.53578028076384,812.252110068951
2000,Montana,WestMnts,2596360,2276370.2764542904,128740935.29007572,838819876.5568725,56.55535772089091,368.4900849537674
2000,Nebraska,CntlPlains,2471809,2249760.6371096466,120398547.17258586,947252164.0926733,53.51615864666673,421.0457541428249
